,name,ratio,num_matches_2016-2019,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,serv_won_tot_seve,bpFaced,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
2233,LUKAS ROSOL,0.5145631067961165,257.0,0.5291828793774319,52.0,0.4423076923076923,R,M,CZE,1985.0,196.0,95.14012578616352,10.92,0.6313779202452264,2089.0,6.89,49.6,14.93,6.93,72.37
2234,LUKAS RUEPKE,0.5625,16.0,0.5625,0.0,0.0,U,M,GER,1993.0,187.44,79.42857142857143,10.06,0.634936211972522,97.0,6.19,50.67,13.51,7.09,71.45
2235,LUKE BAMBRIDGE,0.43661971830985913,70.0,0.44285714285714284,1.0,0.0,R,M,GBR,1995.0,183.42857142857144,83.51370967741934,20.99,0.6281718281718282,443.0,10.2,49.63,12.24,8.03,71.16
2236,LUKE SAVILLE,0.44019138755980863,198.0,0.4595959595959596,11.0,0.09090909090909091,R,M,AUS,1994.0,187.07692307692307,94.16596989966555,11.39,0.613031827985099,1327.0,9.47,49.93,10.23,6.85,69.57
2237,LUKSIKA KUMKHUM,0.6417112299465241,187.0,0.6417112299465241,0.0,0.0,R,F,THA,1993.0,172.13786827469158,73.88899253731344,2.49,0.5184801553058834,1286.0,8.42,45.71,3.73,7.39,52.17
2238,LULU RADOVCIC,0.6504065040650406,63.0,0.6031746031746031,60.0,0.7,U,F,SUI,2001.0,171.33333333333334,61.18517441860465,7.15,0.5633098139833227,513.0,9.14,57.49,1.64,5.12,28.58
2246,LYUDMYLA KICHENOK,0.3,28.0,0.32142857142857145,2.0,0.0,R,F,UKR,1992.0,173.75,87.07936507936508,7.5,0.5140597539543058,260.0,16.98,41.98,6.81,7.81,54.87
2247,MACIEJ RAJSKI,0.5,12.0,0.5,0.0,0.0,U,M,POL,1991.0,191.14285714285717,82.83333333333333,7.33,0.5778503242602028,80.0,7.13,48.89,8.76,3.81,68.0
2248,MACKENZIE MCDONALD,0.5615942028985508,187.0,0.5454545454545454,89.0,0.5955056179775281,R,M,USA,1995.0,187.53125,99.12330045321248,9.1,0.6323067253299811,1754.0,5.29,51.47,12.3,6.95,69.7
2250,MADDISON INGLIS,0.5833333333333334,140.0,0.6071428571428571,40.0,0.5,R,F,AUS,1998.0,171.0,67.47999999999999,3.59,0.5105403780665494,1462.0,6.48,42.09,3.9,6.81,48.73
2255,MADISON BRENGLE,0.5470383275261324,225.0,0.5555555555555556,62.0,0.5161290322580645,R,F,USA,1990.0,173.1818181818182,78.02849093581578,0.48,0.522364334362947,2406.0,5.21,40.36,4.32,7.95,58.66
